topology,A*,BFS (unweighted),Bellman-Ford,Bidirectional Dijkstra,Dijkstra,Floyd-Warshall
bottleneck,1335.3,1319.7,8916.6,1675.3,1335.3,165575.2
dense_mesh,1284.0,1188.2,13122.4,333.5,1284.0,839606.8
grid,230.3,243.5,8511.9,161.4,241.4,3778668.7
line,148.4,148.5,33535.2,164.2,148.4,3963718.6
ring,154.1,154.2,35764.8,154.1,154.1,4352600.7
scale_free,677.4,697.1,6772.6,205.3,677.4,6730933.7
small_world,317.3,321.2,5347.7,105.6,317.3,4207970.1
sparse_random,1197.8,1246.0,16142.6,311.9,1197.8,6231785.1
star,257.9,262.4,1012.2,2.0,257.9,7920964.3
tree,117.3,113.1,1216.5,52.7,117.3,2620938.2
